geo,time,values
AT,1995,-6.1
AT,1996,-4.5
AT,1997,-2.6
AT,1998,-2.7
AT,1999,-2.6
AT,2000,-2.4
AT,2001,-0.7
AT,2002,-1.4
AT,2003,-1.8
AT,2004,-4.8
AT,2005,-2.5
AT,2006,-2.5
AT,2007,-1.4
AT,2008,-1.5
AT,2009,-5.3
AT,2010,-4.4
AT,2011,-2.6
AT,2012,-2.2
AT,2013,-2
AT,2014,-2.7
AT,2015,-1
AT,2016,-1.5
AT,2017,-0.8
AT,2018,0.2
AT,2019,0.7
BE,1995,-4.5
BE,1996,-4
BE,1997,-2.2
BE,1998,-1
BE,1999,-0.6
BE,2000,-0.1
BE,2001,0.2
BE,2002,0
BE,2003,-1.9
BE,2004,-0.2
BE,2005,-2.7
BE,2006,0.2
BE,2007,0.1
BE,2008,-1.1
BE,2009,-5.4
BE,2010,-4.1
BE,2011,-4.3
BE,2012,-4.3
BE,2013,-3.1
BE,2014,-3.1
BE,2015,-2.4
BE,2016,-2.4
BE,2017,-0.7
BE,2018,-0.8
BE,2019,-1.9
BG,1995,
BG,1996,
BG,1997,0.8
BG,1998,1.1
BG,1999,0.1
BG,2000,-0.5
BG,2001,1
BG,2002,-1.2
BG,2003,-0.4
BG,2004,1.8
BG,2005,1
BG,2006,1.8
BG,2007,1.1
BG,2008,1.6
BG,2009,-4
BG,2010,-3.1
BG,2011,-2
BG,2012,-0.3
BG,2013,-0.5
BG,2014,-5.4
BG,2015,-1.7
BG,2016,0.1
BG,2017,1.1
BG,2018,2
BG,2019,1.9
CY,1995,-0.7
CY,1996,-3
CY,1997,-4.8
CY,1998,-3.8
CY,1999,-4
CY,2000,-2.2
CY,2001,-2.1
CY,2002,-4.1
CY,2003,-5.9
CY,2004,-3.7
CY,2005,-2.2
CY,2006,-1
CY,2007,3.2
CY,2008,0.9
CY,2009,-5.4
CY,2010,-4.7
CY,2011,-5.7
CY,2012,-5.8
CY,2013,-5.6
CY,2014,-8.8
CY,2015,-0.9
CY,2016,0.3
CY,2017,1.9
CY,2018,-3.5
CY,2019,1.5
CZ,1995,-12.4
CZ,1996,-3
CZ,1997,-3.2
CZ,1998,-4.2
CZ,1999,-3.1
CZ,2000,-3.6
CZ,2001,-5.8
CZ,2002,-6.4
CZ,2003,-6.9
CZ,2004,-2.4
CZ,2005,-3
CZ,2006,-2.2
CZ,2007,-0.6
CZ,2008,-2
CZ,2009,-5.4
CZ,2010,-4.2
CZ,2011,-2.7
CZ,2012,-3.9
CZ,2013,-1.3
CZ,2014,-2.1
CZ,2015,-0.6
CZ,2016,0.7
CZ,2017,1.5
CZ,2018,0.9
CZ,2019,0.3
DE,1995,-9.4
DE,1996,-3.6
DE,1997,-2.9
DE,1998,-2.6
DE,1999,-1.7
DE,2000,-1.6
DE,2001,-3
DE,2002,-3.9
DE,2003,-3.7
DE,2004,-3.3
DE,2005,-3.3
DE,2006,-1.7
DE,2007,0.3
DE,2008,-0.1
DE,2009,-3.2
DE,2010,-4.4
DE,2011,-0.9
DE,2012,0
DE,2013,0
DE,2014,0.6
DE,2015,1
DE,2016,1.2
DE,2017,1.4
DE,2018,1.8
DE,2019,1.5
DK,1995,-3.6
DK,1996,-2.5
DK,1997,-1.2
DK,1998,-0.4
DK,1999,0.9
DK,2000,1.9
DK,2001,1.1
DK,2002,0
DK,2003,-0.1
DK,2004,2.1
DK,2005,5
DK,2006,5
DK,2007,5
DK,2008,3.2
DK,2009,-2.8
DK,2010,-2.7
DK,2011,-2.1
DK,2012,-3.5
DK,2013,-1.2
DK,2014,1.1
DK,2015,-1.2
DK,2016,0.1
DK,2017,1.8
DK,2018,0.7
DK,2019,3.8
EA17,1995,-7.3
EA17,1996,-4.4
EA17,1997,-3
EA17,1998,-2.4
EA17,1999,-1.5
EA17,2000,-1.3
EA17,2001,-2
EA17,2002,-2.7
EA17,2003,-3.1
EA17,2004,-2.9
EA17,2005,-2.6
EA17,2006,-1.5
EA17,2007,-0.6
EA17,2008,-2.1
EA17,2009,-6.2
EA17,2010,-6.3
EA17,2011,-4.2
EA17,2012,-3.7
EA17,2013,-3
EA17,2014,-2.5
EA17,2015,-2
EA17,2016,-1.5
EA17,2017,-0.9
EA17,2018,-0.5
EA17,2019,-0.6
EA18,1995,-7.3
EA18,1996,-4.4
EA18,1997,-3
EA18,1998,-2.4
EA18,1999,-1.5
EA18,2000,-1.3
EA18,2001,-2
EA18,2002,-2.7
EA18,2003,-3.1
EA18,2004,-2.9
EA18,2005,-2.6
EA18,2006,-1.5
EA18,2007,-0.6
EA18,2008,-2.2
EA18,2009,-6.2
EA18,2010,-6.3
EA18,2011,-4.2
EA18,2012,-3.7
EA18,2013,-3
EA18,2014,-2.5
EA18,2015,-2
EA18,2016,-1.5
EA18,2017,-0.9
EA18,2018,-0.5
EA18,2019,-0.6
EA19,1995,-7.3
EA19,1996,-4.4
EA19,1997,-3.1
EA19,1998,-2.4
EA19,1999,-1.5
EA19,2000,-1.3
EA19,2001,-2
EA19,2002,-2.7
EA19,2003,-3.1
EA19,2004,-2.9
EA19,2005,-2.6
EA19,2006,-1.5
EA19,2007,-0.6
EA19,2008,-2.2
EA19,2009,-6.2
EA19,2010,-6.3
EA19,2011,-4.2
EA19,2012,-3.7
EA19,2013,-3
EA19,2014,-2.5
EA19,2015,-2
EA19,2016,-1.5
EA19,2017,-0.9
EA19,2018,-0.5
EA19,2019,-0.6
EE,1995,1
EE,1996,-0.3
EE,1997,2.1
EE,1998,-0.8
EE,1999,-3.3
EE,2000,-0.1
EE,2001,0.2
EE,2002,0.4
EE,2003,1.8
EE,2004,2.4
EE,2005,1.1
EE,2006,2.9
EE,2007,2.7
EE,2008,-2.6
EE,2009,-2.2
EE,2010,0.2
EE,2011,1.1
EE,2012,-0.3
EE,2013,0.2
EE,2014,0.7
EE,2015,0.1
EE,2016,-0.4
EE,2017,-0.7
EE,2018,-0.5
EE,2019,0.1
EL,1995,-9.7
EL,1996,-8.2
EL,1997,-6.1
EL,1998,-6.3
EL,1999,-5.8
EL,2000,-4.1
EL,2001,-5.5
EL,2002,-6
EL,2003,-7.8
EL,2004,-8.8
EL,2005,-6.2
EL,2006,-5.9
EL,2007,-6.7
EL,2008,-10.2
EL,2009,-15.1
EL,2010,-11.3
EL,2011,-10.5
EL,2012,-9
EL,2013,-13.2
EL,2014,-3.6
EL,2015,-5.7
EL,2016,0.5
EL,2017,0.7
EL,2018,1
EL,2019,1.5
ES,1995,-6.8
ES,1996,-5.9
ES,1997,-3.9
ES,1998,-2.6
ES,1999,-1.2
ES,2000,-1.2
ES,2001,-0.5
ES,2002,-0.3
ES,2003,-0.4
ES,2004,-0.1
ES,2005,1.2
ES,2006,2.1
ES,2007,1.9
ES,2008,-4.6
ES,2009,-11.3
ES,2010,-9.5
ES,2011,-9.7
ES,2012,-10.7
ES,2013,-7
ES,2014,-5.9
ES,2015,-5.2
ES,2016,-4.3
ES,2017,-3
ES,2018,-2.5
ES,2019,-2.9
EU25,1995,-6.9
EU25,1996,-4.2
EU25,1997,-2.8
EU25,1998,-2
EU25,1999,-1.1
EU25,2000,-0.7
EU25,2001,-1.5
EU25,2002,-2.6
EU25,2003,-3.1
EU25,2004,-2.8
EU25,2005,-2.5
EU25,2006,-1.6
EU25,2007,-0.8
EU25,2008,-2.5
EU25,2009,-6.6
EU25,2010,-6.4
EU25,2011,-4.5
EU25,2012,-4.3
EU25,2013,-3.3
EU25,2014,-2.9
EU25,2015,-2.4
EU25,2016,-1.7
EU25,2017,-1
EU25,2018,-0.7
EU25,2019,-0.8
EU27_2007,1995,
EU27_2007,1996,
EU27_2007,1997,-2.8
EU27_2007,1998,-2
EU27_2007,1999,-1.1
EU27_2007,2000,-0.7
EU27_2007,2001,-1.5
