geo,time,values
AT,1995,68.3
AT,1996,68.3
AT,1997,63.5
AT,1998,63.9
AT,1999,66.7
AT,2000,66.1
AT,2001,66.7
AT,2002,66.7
AT,2003,65.9
AT,2004,65.2
AT,2005,68.6
AT,2006,67.3
AT,2007,65
AT,2008,68.7
AT,2009,79.9
AT,2010,82.7
AT,2011,82.4
AT,2012,81.9
AT,2013,81.3
AT,2014,84
AT,2015,84.9
AT,2016,82.8
AT,2017,78.5
AT,2018,74
AT,2019,70.5
BE,1995,131.3
BE,1996,129
BE,1997,124.3
BE,1998,119.2
BE,1999,115.4
BE,2000,109.6
BE,2001,108.2
BE,2002,105.4
BE,2003,101.7
BE,2004,97.2
BE,2005,95.1
BE,2006,91.5
BE,2007,87.3
BE,2008,93.2
BE,2009,100.2
BE,2010,100.3
BE,2011,103.5
BE,2012,104.8
BE,2013,105.5
BE,2014,107
BE,2015,105.2
BE,2016,105
BE,2017,102
BE,2018,99.8
BE,2019,98.1
BG,1995,
BG,1996,
BG,1997,96.2
BG,1998,67.5
BG,1999,75.3
BG,2000,70.7
BG,2001,64.5
BG,2002,51
BG,2003,43.4
BG,2004,35.7
BG,2005,26.6
BG,2006,20.9
BG,2007,16.3
BG,2008,13
BG,2009,13.7
BG,2010,15.4
BG,2011,15.2
BG,2012,16.7
BG,2013,17.1
BG,2014,27.1
BG,2015,26
BG,2016,29.3
BG,2017,25.3
BG,2018,22.3
BG,2019,20.2
CY,1995,49
CY,1996,50.3
CY,1997,54.1
CY,1998,55.7
CY,1999,55.8
CY,2000,55.7
CY,2001,57.3
CY,2002,60.5
CY,2003,63.8
CY,2004,64.8
CY,2005,63.4
CY,2006,59.3
CY,2007,54
CY,2008,45.5
CY,2009,54.3
CY,2010,56.4
CY,2011,65.9
CY,2012,80.3
CY,2013,104
CY,2014,109.1
CY,2015,107.2
CY,2016,103.1
CY,2017,93.5
CY,2018,99.2
CY,2019,94
CZ,1995,13.6
CZ,1996,11.6
CZ,1997,12.2
CZ,1998,14
CZ,1999,15.2
CZ,2000,17
CZ,2001,22.7
CZ,2002,25.8
CZ,2003,28.2
CZ,2004,28.4
CZ,2005,27.7
CZ,2006,27.6
CZ,2007,27.3
CZ,2008,28.1
CZ,2009,33.4
CZ,2010,37.1
CZ,2011,39.7
CZ,2012,44.2
CZ,2013,44.4
CZ,2014,41.9
CZ,2015,39.7
CZ,2016,36.6
CZ,2017,34.2
CZ,2018,32.1
CZ,2019,30.2
DE,1995,54.9
DE,1996,57.8
DE,1997,58.9
DE,1998,59.5
DE,1999,60.1
