Country,NUTS CODE 2016,merged regions_code,capital region,NUTS NAME,Year,Year z-score,value,2019 vs 2016,2016 vs 2013,2013 vs 2010
Austria,AT,,other,AT - Austria,2019,RCI 2019 z-scores,0.47,0.141682807631662,0.092834946,-0.075051569
Austria,AT,,other,AT - Austria,2016,RCI 2016 z-scores,0.33,0.141682807631662,0.092834946,-0.075051569
Austria,AT,,other,AT - Austria,2013,RCI 2013 z-scores,0.24,0.141682807631662,0.092834946,-0.075051569
Austria,AT,,other,AT - Austria,2010,RCI 2010 z-scores,0.31,0.141682807631662,0.092834946,-0.075051569
Austria,AT00,AT00,capital region,AT00 - Wien and its commuting area,2019,RCI 2019 z-scores,0.61,0.140009218282364,0.076821003,-0.026638493
Austria,AT00,AT00,capital region,AT00 - Wien and its commuting area,2016,RCI 2016 z-scores,0.47,0.140009218282364,0.076821003,-0.026638493
Austria,AT00,AT00,capital region,AT00 - Wien and its commuting area,2013,RCI 2013 z-scores,0.39,0.140009218282364,0.076821003,-0.026638493
Austria,AT00,AT00,capital region,AT00 - Wien and its commuting area,2010,RCI 2010 z-scores,0.42,0.140009218282364,0.076821003,-0.026638493
Austria,AT11,,other,AT11 - Burgenland,2019,RCI 2019 z-scores,0.36,0.291505666728611,-0.05682997,0.108704029
Austria,AT11,,other,AT11 - Burgenland,2016,RCI 2016 z-scores,0.07,0.291505666728611,-0.05682997,0.108704029
Austria,AT11,,other,AT11 - Burgenland,2013,RCI 2013 z-scores,0.13,0.291505666728611,-0.05682997,0.108704029
Austria,AT11,,other,AT11 - Burgenland,2010,RCI 2010 z-scores,0.02,0.291505666728611,-0.05682997,0.108704029
Austria,AT21,,other,AT21 - Kärnten,2019,RCI 2019 z-scores,0.28,0.153352457578482,0.084960794,-0.038598977
Austria,AT21,,other,AT21 - Kärnten,2016,RCI 2016 z-scores,0.13,0.153352457578482,0.084960794,-0.038598977
Austria,AT21,,other,AT21 - Kärnten,2013,RCI 2013 z-scores,0.04,0.153352457578482,0.084960794,-0.038598977
Austria,AT21,,other,AT21 - Kärnten,2010,RCI 2010 z-scores,0.08,0.153352457578482,0.084960794,-0.038598977
Austria,AT22,,other,AT22 - Steiermark,2019,RCI 2019 z-scores,0.39,0.118647314482539,0.120821804,-0.108058049
Austria,AT22,,other,AT22 - Steiermark,2016,RCI 2016 z-scores,0.27,0.118647314482539,0.120821804,-0.108058049
Austria,AT22,,other,AT22 - Steiermark,2013,RCI 2013 z-scores,0.15,0.118647314482539,0.120821804,-0.108058049
Austria,AT22,,other,AT22 - Steiermark,2010,RCI 2010 z-scores,0.26,0.118647314482539,0.120821804,-0.108058049
Austria,AT31,,other,AT31 - Oberösterreich,2019,RCI 2019 z-scores,0.41,0.157145149882788,0.093401776,-0.197646784
Austria,AT31,,other,AT31 - Oberösterreich,2016,RCI 2016 z-scores,0.25,0.157145149882788,0.093401776,-0.197646784
