iso3c,year,NEER_EA19,RGDP_EA19,RHICP_EA19,RULC_EA19,RXPI_EA19,NEER_EU27,RGDP_EU27,RHICP_EU27,RULC_EU27,RXPI_EU27,NEER_IC37,RGDP_IC37,RHICP_IC37,RULC_IC37,RXPI_IC37,NEER_Gr42,RGDP_Gr42,RHICP_Gr42,loans,banking_leverage,current_account_avg3y,direct_investment_stocks,current_account,export_oecd_5ychange,lending_borrowing,direct_investment_flows,trade_balance_energy,REER_42tp_change1y,REER_42tp_change3y,REER_euro_change3y,export_shares_change5y,export_shares_change1y,export_shares_vol_change1y,finance_liabs_ch1y,finance_liabs_mio,debt_gov,house_prices_real_ch1y,house_prices_nom_ch3y,int_inv_pos,int_inv_pos_adj,poverty_risk_perc,poverty_risk_ch3y,povery_risk_post_transfer_perc,povery_risk_post_transfer_perc_ch3y,deprived_perc,deprived_perc_ch3y,low_work_perc,low_work_perc_ch3y,ulc_ch3y,ulc_ch1y,ulc_perf_eu_ch10y,activity_rate_perc,activity_rate_perc_ch3y,unemp_long_perc,unemp_long_perc_ch3y,unemp_youth_perc,unemp_youth_ch3y,neet_youth_perc,neet_youth_perc_ch3y,gdp_real_ch1y,cap_formation,tot_ch5y,construction,employment_ch1y,productitivy_labor,credit_priv_flow,debt_priv,debt_households,rd_exp,unemp_avg3y,unemp_rate,finance_debt_to_equity,debt_external,ulc_ch10y,debt_priv_perc,credit_flow_priv,EurozoneEntry,EUEntry,gini_post,gini_post_se,gini_pre,gini_pre_se,gini_abs_red,gini_abs_red_se,gini_rel_red,gini_red_red_se,gov_balance,gov_debt_gdp,MIP_status,SGP_compliance,SGP_edp,fdi_net_inflow_GDP,fdi_net_outflow_GDP,tax_rev_total_GDP,tax_rev_trade_TAX,tax_rev_inc_profits_TAX,trade_total_GDP,trade_exp_GDP,trade_imp_GDP,RD_expend_GDP,RD_scientists,wgi_accountability,wgi_regul_quality,wgi_rule_of_law,wgi_pol_stability,wgi_gov_effectvn,wgi_control_corrupt,empl_ind,empl_agr,empl_serv,empl_self,unemp_youth_neet,VA_industry_gdp,VA_manufct_gdp,current_account_GDP_WB,population,res_rents,gdp_real_lcu,gdp_real_lcu_growth,gdp_real_pc_lcu,gdp_real_pc_lcu_growth,gdp_real_usd,gdp_real_pc_usd,gdp_nom_lcu,gdp_nom_pc_lcu,gdp_nom_usd,gdp_nom_pc_usd,gdp_real_ppp,gdp_real_pc_ppp,gdp_nom_ppp,gdp_nom_pc_ppp,unemp_rate_wb,labor_force_total,cpi_wb,cpi_change_wb,interest_real,cap_form_gf_perc_gdp,cap_form_gf_real_lcu,cap_form_gf_real_usd,AIS_mean,AIS_mean_MIP,AIS_mean_SGP,AIS_mean_Integrated,AIS_mean_SGP_MIP,country_group_jee
BEL,1994,100.552745381055,103.118503675119,100.988183816351,102.468882937232,95.9167462972536,98.3396623320498,104.919611342257,102.485793454217,104.110019962028,97.0793755567201,93.7371557828523,102.844919931694,100.652860583813,102.792110189876,95.9915565601309,89.7821184584084,105.453298215527,102.144211663614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1993,25,1,46.8,1.3,21.8,1.6,46.6,2.1,,,,,,3.47657482650626,0.560011791229325,,,,113.232300033612,58.4249593454229,54.8073406881894,,,,,,,,,28.8799991607666,2.89000010490417,68.2300033569336,17.7199993133545,,,,,10115603,0.0233077444971827,279571303000,3.22697152488935,27637.6309944153,2.90931876907965,344218036408.14,34028.4248411231,203106897000,20078.5753454342,244884129491.198,24208.5547931447,374082372789.928,36980.7289580194,217146039918.875,21466.445442637,9.64999961853027,4163102,73.894729239934,2.37754084476403,,20.7984827812125,58480418000,73560857672.9405,,,,,,Core
DEU,1994,100.695799786885,122.670940784323,113.090501223098,123.688152389707,114.193217179808,96.025950165448,125.940693512424,116.203324950733,126.455290181933,116.231772161403,89.563935266593,120.123677074962,112.463678958484,120.724988307199,113.276748937616,82.5779720697947,124.875953760945,115.182887651312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1993,25.9,0.8,45.9,1,20,1.3,43.6,1.6,,,,,,0.340906850799452,0.900484414690076,11.6778442786478,0,14.3961650085501,42.0578830860048,21.1107102839496,20.9471728020551,,,,,,,,,36.4199981689453,3.25999999046326,60.3199996948242,10.6300001144409,,30.1969883304638,20.8047334043891,-1.51677496401935,81438348,0.0601959636820739,2292936590000,2.39189207051331,28155.4899664713,2.03735420973175,2798105342960.94,34358.5719956025,1.82955e+12,22465.4606205912,2205074123177.05,27076.60675014,3161785451120.78,38824.2827705785,1852029939404.49,22741.4969100858,8.72999954223633,39928898,79.131594552623,2.69305738121724,,24.1414008909295,505630730000,615364681402.249,,,,,,Core
EST,1994,102.415953802767,40.210763623915,51.4378650023956,42.1793711144133,46.5127594235991,99.0450832576335,40.3753063313493,51.2930567349192,42.4967440250151,46.6273608654063,91.3948692099324,40.8964390593486,51.7370773427286,43.0030225150423,47.4857765184741,56.0590390085572,43.2450967651183,56.5479661882666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,33.1,1.1,47.5,1.8,14.4,2.1,30.3,2.8,,,,,,5.30633202634393,0.155128371474141,1.29781663286836,1.82450949712194,21.1241026808151,148.368943930975,69.2026578392509,79.1662860917245,,,,,,,,,32.5,14.1499996185303,53.3499984741211,7.78999996185303,,,,-4.03942455801799,1462514,1.56783608919231,8877878000,-1.6424213048235,6070.28582290494,0.483696115501587,9908736271.44627,6775.1394321328,2080186000,1422.33578618735,4116734613.10113,2814.83432849267,17502105118.4155,11967.1368058121,8691923919.03863,5943.13895049116,7.55999994277954,718361,32.6167651348571,47.6546906187628,,27.0940675497287,1280403000,1526514113.60359,,,,,,Catchup
IRL,1994,98.1019200741284,84.5076492758742,90.8968112993276,91.9895347332705,97.07232573786,95.7072504139012,85.9336053785041,92.1112325871281,93.5440409140856,98.0862938478471,90.9207268833238,82.6440186275083,88.3186427160056,90.9459794620561,95.1922687370379,87.1556710319801,83.7711280105013,88.9628155920433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1993,32.9,1.3,49.9,1.6,17,2.1,34.1,2.6,,,,,,1.49910518539141,0.763941381338644,27.0241401566583,0,39.1374326571556,126.337624101753,67.8787621798211,58.4588619219316,,,,,,,,,27.8400001525879,12.5799999237061,59.5800018310547,22.6000003814697,,,,,3590386,0.114251831807768,83503724000,5.75582782660278,23257.5895739344,5.33977198523898,97745998205.8665,27224.3703618125,48533964000,13517.7565866177,57166035335.689,15921.9747781127,105983326008.788,29518.6439588357,61003508075.1088,16990.7937684441,14.5699996948242,1520608,67.3155275289206,2.30919875061488,,16.9612356410863,14287157000,17735855643.4646,,,,,,Finance
GRC,1994,117.16789373716,83.9678916184493,84.5711835791661,72.6239328113806,81.6342844360083,99.8835137687525,88.3258699480148,88.9460673002413,75.0681825215164,84.6355407346155,85.0954014832559,88.1624592670664,89.7073840487283,74.5306154428223,84.5825003732651,73.1619887995647,92.5236884257024,93.1824350334849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1993,34.3,1.1,48.5,1.5,14.2,1.9,29.3,2.4,,,,,,0.84132490532487,0.0135383842563286,,,,36.1631225392895,14.4456097659658,21.7175127733237,,,,,,,,,23.6200008392334,20.8099994659424,55.5699996948242,46.7400016784668,,,,-0.125212473167616,10512922,0.0695493617219654,149186233000,1.99999982223559,14190.7485854076,1.49055877523972,205962854073.624,19591.3994295424,83020483000,7896.99409926184,116601801966.292,11091.2838472779,260353030680.498,24765.0492109138,155992549905.3,14838.1724800489,8.85999965667725,4437374,52.3329899078099,10.8740789798805,,20.0011062330244,24623709000,33788618268.458,,,,,,Periphery
ESP,1994,103.647466144718,84.7454773148423,89.8233267731054,87.9974807448119,82.6950363434304,101.511746882547,86.1950689633968,91.0790042889905,89.3230554288226,83.6903620481755,93.5281907987838,84.7884428212653,89.6150227152479,87.8389502322875,83.3684253657772,88.8950155045423,87.1177900311127,90.905141207575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1993,31.7,0.7,46,1.1,14.3,1.3,31.1,1.7,,,,,,1.65345758769446,0.679924793160361,15.1067692126611,0.00981450583963095,29.3021886348023,41.6444787333504,20.3111354333221,21.3333433000283,,,,,,,,,30.2600002288818,9.48999977111816,60.25,25.8899993896484,,,,-1.20425921860257,39549108,0.0687698014615162,696919487000,2.38319539651248,17621.623400457,1.89690696435738,917645009493.873,23202.672725106,427155977000,10800.6475645418,530562634455.347,13415.2870010456,1122720578385.82,28388.0126546931,615227258586.272,15556.0337438273,24.2099990844727,16432939,63.7398411936343,4.71841328382086,,21.0218783851876,131321675000,188221072428.116,,,,,,Periphery
FRA,1994,97.8160366422113,104.286244467426,103.967570974084,100.005773253143,111.922791588439,94.9730246683499,106.498466481599,105.777531089341,101.985816126187,113.384939478685,89.9568872943506,103.913235833515,103.740688034283,100.232525670562,111.188888494411,85.5387797133729,107.312589961575,105.529428481558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1993,28.8,0.8,48.4,0.9,19.6,1.2,40.5,1.5,,,,,,1.13323678428811,1.75311699742479,19.0841169775623,0.00659565346436698,17.4422055865185,41.8262397371907,21.6603227312909,20.1659170058998,,,,,,,,,26.8299999237061,5.19000005722046,67.9800033569336,14.1099996566772,,22.2443716113765,14.6948766259248,0.531948765076644,59327192,0.0701816944355149,1563380890000,2.35834218111899,26351.8436874612,1.97804042645427,1977870042046.03,33338.3390544766,1.179867e+12,19887.4573399665,1393982750472.59,23496.5233222666,2051329529863.81,34576.5484714633,1183862536059.2,19954.8048061873,12.5900001525879,26247426,78.0666561086769,1.65551532926996,,20.4236579207656,325014194000,411943049570.8,,,,,,Periphery
ITA,1994,99.6519398850506,86.6360440236504,91.1740261104529,85.2745872972139,84.0044861888342,94.7498549365439,89.7393178642133,93.8165082976784,87.9767730354769,86.220756168226,87.3022657724917,88.7063765569833,93.1912152989286,86.9504180273029,86.1248212283165,81.2183118795836,92.1401912042945,95.2492206137229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1993,33,0.9,46.6,1.1,13.6,1.4,29.2,1.8,,,,,,0.200920878132889,0.477323541257913,25.0940032697273,,,40.4550288341845,21.8710884743664,18.5839403598181,,,,,,,,,33.7599983215332,6.90000009536743,59.3400001525879,29.7600002288818,,26.3749811238498,18.6763352085654,1.20082500995926,56843400,0.0546659239172103,1457285448000,2.15102363802566,25636.8452274143,2.1302154755529,1815712043143.79,31942.3546646364,915427658000,16104.3790132188,1099216688280.5,19337.6308996383,2151807346894.48,37855.0077387082,1208951381918.84,21268.1046861876,11.0900001525879,23004809,67.9932808957477,4.0518421806572,8.15255755961606,18.8096191430563,262786504000,331734733527.395,,,,,,Periphery
CYP,1994,97.8494218779591,90.6980246613828,92.1113556515923,86.4262329556438,91.2705060394714,68.0721327544044,93.9539462241419,97.3223861941501,89.3162770550809,92.1292095885266,62.2278333829704,92.2194604150529,95.4584566239308,89.3431133673021,90.9034216351189,48.0264120428855,93.3395478336258,97.7706392146831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,30,2.3,46.9,4.2,,,,,,,,,,1.01234939241526,0.0820823831688045,35.5447320498536,8.51616173976889,19.5050958865794,95.7761516051877,47.6894839198586,48.0866676853291,,,,,,,,,26.1499996185303,11.1000003814697,62.75,25.6100006103516,,23.2256832857901,12.1483544457297,1.00140507465942,837110,0.00959880836217663,10508030200,5.89999870094493,16440.0665235649,3.73220101424567,13930836802.3333,21795.1310759055,6237591300,9758.86193387695,7425703928.57143,11617.6927784249,17233727709.6211,26855.7258722133,10033396345.8556,15706.5980485692,2.89000010490417,381039,65.4346299460035,4.69858931054978,,20.5850934799143,2842091800,3767852509.39983,,,,,,Periphery
LVA,1994,107.949573824716,55.2673760977874,53.2720124945486,62.0807507225765,57.994070786594,104.016934663605,56.0901852932076,53.7776087723542,63.0719824846097,58.6599622619332,96.1645037514811,57.2973035530672,54.7183592596041,65.3496787689457,59.4001918495466,56.5384581602524,62.2414462034073,62.5512283279089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,29.2,1.5,43,2.7,13.8,3.1,32.1,4.1,,,,,,,,12.2039379708092,4.4643197681071,15.5993744994088,,,,,,,,,,,,28.1499996185303,18.2800006866455,53.5699996948242,14.1300001144409,,,,,2520742,,,,,,,,3.605e+09,1430.13446040888,,,,,,,18.7000007629395,1207502,33.7588791286342,35.9247053929643,,,,,,,,,,Catchup
